,Energia Down,Energia Up,Day-ahead Forecast Wind,DA Forecast PV,DA Forecast Consumo,DAToda a Geração,DA Tie Lines Balance,DA Traded Wind,DA Traded PV
4236,169.4,26.2,6859.0,3285.0,34503.0,33007.4,20.1,6979.7,3257.1
4237,141.2,5.4,7322.0,3046.0,34388.0,33020.8,-90.1,7543.8,2994.6
4238,101.3,86.3,7670.0,2649.6,34417.0,32966.0,-193.9,7746.5,2566.8
4239,563.6,5.7,7536.0,2068.2,33863.0,32423.2,-80.5,7633.0,1989.7
4240,146.1,36.8,7091.0,1304.3,33395.0,31736.0,236.8,7282.1,1252.4
4241,21.5,101.7,6617.0,497.3,32755.0,30821.3,689.1,6784.3,523.6
4242,137.3,16.3,6236.0,77.6,32169.0,30437.2,740.1,6323.7,74.0
4243,356.4,0.3,6171.0,0.2,31366.0,29622.2,766.9,6083.3,14.4
4244,239.1,2.3,6238.0,0.0,29101.0,27587.8,303.8,5894.8,14.2
4245,433.1,1.8,6331.0,0.0,28558.0,26138.9,984.5,5995.8,7.4
4246,899.1,16.2,6752.0,0.0,26889.0,24961.4,576.2,5857.1,7.4
4247,491.4,4.9,6852.0,0.0,25705.0,24242.9,336.2,5873.7,7.4
4248,431.6,7.4,6584.0,0.0,25085.0,23699.1,298.6,5828.3,7.4
4249,202.7,85.5,6687.0,0.0,24870.0,23407.6,364.9,5756.5,7.4
4250,106.3,39.3,6843.0,0.0,25133.0,23482.7,574.1,5652.1,7.4
4251,266.0,52.7,6847.0,12.2,26577.0,24919.2,784.4,5615.4,24.8
4252,320.5,13.9,6971.0,264.4,28817.0,25869.9,1804.7,5429.2,237.6
4253,634.4,7.2,6530.0,910.6,31024.0,28274.3,2117.9,5037.6,852.3
4254,589.4,7.5,5934.0,1620.7,33187.0,30377.7,1782.6,4844.4,1626.5
4255,101.5,51.4,6078.0,2274.5,34555.0,31957.5,1524.5,5090.6,2284.3
4256,36.7,145.2,6769.0,2729.2,35450.0,32620.9,1517.1,5808.0,2781.5
4257,91.2,90.9,7529.0,2986.5,36583.0,33543.6,1435.3,6738.6,3082.2
4258,179.8,22.3,8055.0,3170.9,37105.0,34146.8,1243.9,7531.5,3257.8
4259,560.3,2.8,8637.0,3277.2,36497.0,34381.8,729.1,8189.2,3302.9
4260,380.4,4.0,8935.0,3129.6,36093.0,34211.0,279.5,8586.2,3194.6
4261,181.0,94.9,8937.0,2916.5,36164.0,34121.5,284.9,8700.1,2949.3
4262,125.7,86.9,8555.0,2567.4,36137.0,33759.1,462.9,8428.0,2535.3
4263,334.1,1.6,8256.0,2022.5,35492.0,32951.6,695.6,7948.8,1937.8
4264,405.6,53.8,7478.0,1263.7,35013.0,31790.8,1254.6,7302.3,1214.9
4265,247.3,28.2,6565.0,484.3,34195.0,31130.5,1589.8,6461.1,496.6
4266,161.1,75.7,5756.0,72.4,33340.0,30139.4,2315.5,5981.3,89.7
4267,466.5,2.9,5567.0,0.4,32423.0,29311.8,2477.0,5462.0,14.5
4268,477.9,3.8,5439.0,0.0,30265.0,26929.0,2142.7,5219.8,14.2
4269,331.8,8.2,4967.0,0.0,29271.0,25830.4,1858.4,5178.1,7.4
4270,747.6,4.2,4343.0,0.0,27531.0,24764.5,1541.5,4547.6,7.4
4271,38.6,279.3,3564.0,0.0,26182.0,23692.4,1472.7,4060.1,7.4
4272,212.8,12.2,2935.0,0.0,25491.0,22891.4,1548.7,3576.5,7.4
4273,320.6,32.3,2493.0,0.0,25204.0,22608.6,1609.9,3169.5,7.4
4274,91.0,69.5,2195.0,0.0,25431.0,22720.0,1768.7,2871.0,7.4
4275,48.3,53.6,2229.0,11.3,26902.0,24138.7,1893.0,2658.8,26.2
4276,729.8,15.2,2248.0,248.5,29236.0,26412.7,1953.4,1990.6,260.5
4277,536.7,5.9,2018.0,883.2,31470.0,28346.6,2414.9,1746.1,932.7
4278,398.8,26.4,1586.0,1674.8,33630.0,30517.4,2252.1,1495.8,1747.9
